,S1a,S1b,S2a,S2b,S3a,S3b,time
263,5.8431664,7.0206547,4.9033504,4.016017,4.0571423,4.2279453,26.3
264,6.3137197,6.690592,4.5181217,4.2943196,3.7835598,3.6156151,26.400000000000002
265,5.796871,6.7255964,4.935517,4.0625315,5.247752,3.5967672,26.5
266,6.6047077,6.6289,4.178192,4.0633974,3.9635444,3.7306786,26.6
267,6.788597,6.770877,4.924541,4.0308886,3.6249259,4.3354545,26.700000000000003
268,6.463018,6.5687566,4.21202,4.2566376,4.291213,3.3946462,26.8
269,6.5368805,6.5745134,4.928474,3.8462007,4.4193373,3.7390935,26.900000000000002
270,6.432016,6.8611093,3.9747338,4.343059,4.458198,4.1213384,27.0
271,6.7763877,7.5063605,4.65823,3.8262508,3.4697804,3.1068265,27.1
272,5.5878897,6.6661477,4.8253655,4.351671,4.448934,3.9187946,27.200000000000003
273,6.8879704,6.1847014,4.983701,4.88753,3.6772985,3.9889562,27.3
274,6.669175,6.304012,4.894618,4.1910796,4.339894,3.8077855,27.400000000000002
275,6.556552,7.007514,4.5554237,3.8613,4.0493813,3.964497,27.5
276,6.4900045,6.6077766,4.356825,4.100605,3.7953427,3.8631802,27.6
277,6.9586377,6.517626,4.3584647,4.56468,4.944038,4.55069,27.700000000000003
278,6.9269543,6.890096,5.442872,4.286235,4.595723,3.9632554,27.8
279,7.053588,6.6685276,4.4246855,4.571888,3.9849117,3.819157,27.900000000000002
280,6.1303596,6.986193,4.70069,4.569471,3.4388561,4.510852,28.0
281,6.2255917,6.4446707,5.167289,4.2986045,4.0046725,3.745058,28.1
282,7.4891567,7.501564,4.683201,3.6644814,3.4941266,4.67443,28.200000000000003
283,6.6819425,6.6657095,5.0272226,5.000627,3.6604116,4.475705,28.3
284,7.240438,7.337361,4.2058473,4.0601344,3.129816,4.183857,28.400000000000002
285,6.6366177,6.561727,4.2768435,3.7355576,3.8447752,3.9707696,28.5
286,6.356852,6.381438,4.906456,4.2420235,3.8938303,3.8731656,28.6
287,6.8278937,6.260779,4.328784,3.502512,3.8348575,3.7520242,28.700000000000003
288,6.5598197,6.0080934,4.7994432,4.4947867,4.9213405,4.0074625,28.8
289,6.512538,6.6994495,4.592808,4.3104095,3.9470875,3.9526818,28.900000000000002
290,7.351346,6.7845306,5.1472664,4.5261097,3.9598122,3.9172575,29.0
